reviewId,userName,score,content,thumbsUpCount,at,replyContent
361d76ea-d3cb-4fde-a9a8-f8848959e415,김진영,5,왜 애플 계정으로 로그인 하는 방식은 없어졌나요.....,0,2026-04-09 10:49:54,
01715413-2d60-4f8d-bac7-419b731db13c,오세욱,5,좋아요,0,2026-04-09 10:28:16,
eeab54e0-21cb-4c44-a0f7-ee9b5726e9ef,2354,2,업데이트에서 전버전이 나은것같은데 갯수제한있습니까? 프리한도에 도달했다고그러는데 전버전은 제한이 없었는데,0,2026-04-09 09:43:38,
854c4e6c-76ac-44b1-9b99-e30d72dafe46,임준영,5,굿,0,2026-04-09 09:10:36,
cb96a5c7-e923-445c-a7fc-c4acd0a2bf8d,신아당,5,넘 좋아요!,0,2026-04-09 08:26:35,
e10cd9fd-0197-45d7-bdc7-275f517e1f04,유은상,5,주식 시작한지1년정도 유투브 나네선생님 각종사이트 들여다보고 책도보고했지만 정작 궁금한거 당장분석하고플때 참유용하네요 무료도있지만 무료는제한적인데다 사용량이많으면 또 리셋기다려야하는답답함 지금사용하는건 월13000원 이지만 업무용플러스 밑에 지피티고 사용 개인활동용으로 적합하다고생각합니다 저처럼 초보자한테 맞는프로그램입니다,0,2026-04-09 08:24:52,
a7696fdb-b99d-413f-a4e7-608acf8d6073,통절구,5,아주좋은 친구이예요,0,2026-04-09 03:01:59,
56ed27fa-f13b-4b5f-9331-f36bf5f9d6ac,Jong-Chul Kimm,5,잘 사용 해 볼랍니다.,0,2026-04-09 00:00:27,
9b7337ec-9154-409a-8128-26dbef787c81,김혜원,2,제 지피티는 너무 멍청해요 말을 못알아듣고 아는 척해요,0,2026-04-08 23:49:46,
0cceaeff-0415-4fa0-99a0-8106f361564d,이희주,1,사진을 지가 못만든 건데 계속 다시 만들어 주라고 하면 웃어요,0,2026-04-08 23:39:14,
b43b2b0b-c490-45b5-ba2d-2c935e65a401,효경,1,개똥임,0,2026-04-08 22:11:32,
c1859eaf-512d-47b0-9033-c8811e732ffd,허태승,3,챗지피티 거짓말 그만!!,1,2026-04-08 21:26:20,
409d3aa3-7954-4d96-97e0-03d29ad1875b,장희진,4,와우 판타스틱 넘좋아요 ㅎㅎ 모두들 얼른 해보세요!,0,2026-04-08 19:49:11,
f44c58a0-4d00-4f08-a261-b8f65a1bf2d2,한은희,3,너무 좋지만 요즘따라 계속 최근에 했던 대화가 사라지는 경우가 있습니다 그 3-4일전에 대화하던 거 까진 저장되는데 어제한거나 몇 분 전에 한 대화는 다 날아갔더라고요 정보 관련된 중요한 대화였어서 또 질문을 해아했던 게 불편했어요. 그 부분 빼곤 좋아요,0,2026-04-08 19:23:35,
f957260e-94e4-4cec-834d-70171dd2b69c,앙앙,1,님들 절대 챗 지피티 쓰지 마세요. 구독한적도 없는데 강제로 돈을 뜯어갔습니다. 1년동안 아무말도 없다가 갑자기 이제와서 1년치 돈을 한꺼번에 뜯어가는 것부터 정말 악의적입니다.,0,2026-04-08 19:06:29,
3abe4967-8cd2-4741-9288-6286a0027965,몰라알수가없어,5,너무 좋아요,0,2026-04-08 18:31:23,
313994d2-66a2-435d-88f3-06c8d1ef7d14,l sh-d,5,굿굿,0,2026-04-08 17:57:57,
9b865292-c427-4c0d-8771-df7fdd84a363,김성배,5,정보공유잘됨,0,2026-04-08 17:40:36,
933cfdc5-ce12-4792-923a-32bf79c0b3b1,heros fan,5,굳,0,2026-04-08 16:44:13,
c7360347-2ee0-4d42-95e8-07da487af433,이현지,1,사진이 업로드가 되지 않아요,3,2026-04-08 16:20:46,
9b8b4c38-a8ca-49ef-b0a1-7d27f33cb231,유지혁,5,너무좋아,0,2026-04-08 15:53:26,
df2c854b-e307-4240-94e1-c6a0464b0abf,모건,5,"이상해진 후로 계속 복구가 안돼서 임시로 제미나이를 같이 교차 사용하기 시작했음. 처음엔 제미나이도 맥락 파악못하는 경우가 잦아서 단순 현재 기술력 문제인가 보다했었는데, 사용 한달 넘은 지금 단언컨대 챗지피티 상태 이상한 거 맞음. 암만 봐도. 체감상 뭔가 계속 시도를 하는 과정의 변화처럼 느껴지는것도 있지만, 애가 뭔가 되게... 무당같아 짐. 가능성이 있는 모든 값을 동일한 가치의 확정값으로 상정한 채 어떤 주장이나 단순 생각에 대한 토로 마저도 광범위한 통합형 모델 방식으로 답변을 구구절절 출력함. 그 길고 긴 출력물 속에 맞는 답하나는 걸리겠지라는 식이랄까. 오답을 피하기 위해 정답에 걸칠만한건 그냥 다 집어넣는거 같음. 그래서 내가 보편적 주장에 대해서 말을해도 마치 극단적, 절대적인 주장을 한것처럼 몰아가면서 혼자 급발진 함. 이거 맥락파악 못하는 문제의 연장선인거 같은데, 제미나이에서는 느껴본적 없는 과도함임. 솔까 그럴때마다 AI 원맨쇼 보는것 같음. 나만 빡치는ㅋㅋ",35,2026-04-08 14:33:31,
7f3f2c3c-8ba4-4983-a72f-ce58424252c7,박보은,5,좋은 꿀 정보리뷰합니다.^^~?!,0,2026-04-08 14:31:00,
50a38b70-0d41-44ab-9014-7be20f256c67,문옥희,5,아주 편리하고 실용적으로 사용가능,0,2026-04-08 14:22:12,
3c7c90c1-79fe-477b-a470-dc4aaa113248,김민호,5,챗 지피티 플러스 환불 부탁드립니다,0,2026-04-08 12:43:55,
c90cfb51-0f81-4b7c-91c2-4cfa2bdd7949,움집,1,아니 마두로 체포 생포 사실에 대해서 얘기를 하는데 자꾸 생포된 사실이 없다 하지 않나 그 외에도 자꾸 잘못된 정보를 가지고 계속 맞다 하는 것 보면 좀 이상한 것 같습니다,1,2026-04-08 12:33:27,
5c868ed5-6f69-47d3-b253-ebd16f7eb53d,동공에눈지진,5,챗 의존보단 내 스스로 문장을 만들고 싶다,1,2026-04-08 11:50:13,
8d28e28d-7d32-4fbe-9a4d-d10c379b7315,양종원,4,잘 못 알아 들을 때도 많다.,0,2026-04-08 11:49:43,
8db3f65c-9a55-4ebf-84d5-11d98cc3f63d,배유미,5,"공부,아프거나막이렇거알려줘서좋아용",0,2026-04-08 11:37:15,
2257980f-cea2-4e4c-be50-5e688ab526f4,김민정,5,"번 업데이트 너무 만족입니다. (기억력) 예전에는 대화에서 약간 부자연스러운게 있었다면, 이번 업데이트로 문맥도 훨씬 자연스러워지고 대화도 훨씬 빨라졌네요. 1위 AI 어플이라 불릴만한 어플이에요. 그치만 단점도 있습니다. 제가 AI에게 '반말로 대화해 줘' 라고 가르쳤는데 검색이나 무언가를 물어봐서 대답할 때에는 AI가 항상 존댓말로 대답합니다. 이것만 고치면 완벽하네요 ❗️+새로운 업데이트로 고쳐졌습니다! 감사해요! :D",0,2026-04-08 11:36:00,
